1599866528016356,vu,pafo,halejipe,38,-151,1,983,45436,67,7065099,19
1599866528016375,sy,losi,xemozype,43,11,6,772,54784,80,7739131,3041504
1599866528016395,go,decy,zidygyhi,-89,-23,4,287,76867,11,4485613,18
1599866528016415,vi,retu,dyrapona,34,-101,6,619,90487,64,2915880,5884256
1599866528016435,zu,naqi,bywydace,-17,81,10,816,11350,88,4781433,42
1599866528016454,ta,guso,volulihu,-10,-124,10,172,52220,97,98219,1098610
1599866528016474,xe,zesa,qywefaty,-55,-128,10,832,70574,1189819,1,18
1599866528016494,xo,zawu,valunaja,-54,-117,6,259,53331,98,3741330,8941290
1599866528016515,ro,qaje,lipagulu,75,45,8,736,37083,91,1569431,1
1599866528016534,qu,kohe,piquxezi,-74,59,8,95,72775,98,4153664,4473648
1599866528016554,hy,jeco,refepolo,51,29,3,543,63327,26,967014,4
1599866528016574,ru,wuzu,jonijido,38,-59,4,903,6090,37,5582297,6584981
1599866528016594,fu,vecu,rilixulo,-14,-92,1,859,70560,30,8084918,33
1599866528016614,pe,zawa,qatyqimo,70,19,4,449,90692,73,7455881,91335
1599866528016634,sy,wegy,nofineli,-1,-76,3,620,46802,74,166515,48
1599866528016653,vu,sore,tukowywo,82,119,6,428,19230,56,4856375,171912
1599866528016673,vo,qoby,wahicelu,5,-78,10,832,80378,4654074,18,50
1599866528016693,ha,fiti,jubyputu,-66,-16,8,956,42040,30,4941765,7414199
1599866528016713,ko,quhi,jyzikaja,-61,-43,5,298,40403,89,9233804,21
1599866528016733,qo,tyza,hiparyla,-22,21,7,111,38905,81,6820741,8154479
1599866528016753,zi,kopo,xopubehy,-55,101,3,642,1855,60,2373178,53
1599866528016773,ho,tywa,safitili,72,55,7,372,31811,27,1904112,7081112
1599866528016793,ru,zoni,debevopu,76,92,7,934,33996,36,2191222,33
1599866528016813,cu,puzi,mafokucu,-85,111,6,255,38900,68,1205482,3975521
1599866528016833,bi,wodu,konahuku,69,85,6,628,85377,63,7655426,3
1599866528016853,pa,fepi,wodosunu,-82,-134,5,646,50172,43,5923707,8200906
1599866528016899,jy,kyhu,rasykapy,50,129,6,391,58032,3079265,18,65
1599866528016920,ro,zeki,weqizeji,-54,-89,5,570,3035,68,1171630,8370436
1599866528016940,ga,disi,javabame,-74,14,8,472,33358,12,2889240,42
1599866528016960,de,pela,jiqujula,90,49,7,409,158,37,8351597,6598106
1599866528016980,ga,syhi,jyqawomy,71,104,7,641,34913,77,9053678,73
1599866528017000,we,rajo,fedizumy,36,-80,8,631,77531,30,7472981,8863703
1599866528017020,vy,razy,siqofypo,16,-177,6,988,87953,29,3547312,63
1599866528017039,fe,wusu,ruzydozu,47,-81,5,620,85334,7,1830656,5863720
1599866528017059,zu,qydo,penarujy,41,-11,5,31,25370,18,2089777,37
1599866528017103,pu,cowi,wotifeva,70,-4,6,710,45841,34,1672089,4674202
1599866528017125,qy,zuce,coxecuha,57,-100,3,384,89659,4280313,8,68
1599866528017155,nu,xewi,daqyvohy,-56,88,9,960,74087,25,6081587,2854992
1599866528017175,mi,qoje,teviwiho,-45,-111,1,156,84053,24,3274149,15
1599866528017195,xi,jase,xifuzile,51,130,2,83,19772,72,8198334,1088759
1599866528017214,mi,vuzu,calysupi,-72,57,1,312,28853,1,7112931,93
1599866528017234,so,lyzy,vopagyma,25,54,7,373,43454,96,1025252,8261143
1599866528017254,ve,qazy,ragyhyte,-24,49,4,58,31311,4,8333557,77
1599866528017273,ma,ceza,musejodi,57,60,2,989,5684,31,5115638,5825465
1599866528017293,fo,biri,wivodume,77,70,10,755,88517,15,8563561,93
1599866528017313,nu,bizy,ticejybu,-52,55,4,414,76595,55,1660892,5243121
1599866528017332,co,fuqa,tigamyro,-25,-87,3,600,46953,6757083,29,4
1599866528017352,fo,dila,seguniji,-88,148,1,139,57267,42,4748865,1279761
1599866528017372,lo,horu,vacimyxe,60,-36,10,597,84979,6,2513650,54
1599866528017391,gy,xuhi,datusise,71,177,5,272,79490,88,2589672,7261884
1599866528017411,pa,jodu,gymavosi,63,89,7,304,75617,80,6844114,66
1599866528017432,re,doli,wedavako,-14,-97,2,130,18734,16,3282172,9605826
1599866528017451,pi,joqi,wofutepa,47,102,8,492,83420,56,1724287,4
1599866528017471,ry,tani,kojobyfe,88,-109,10,497,78679,45,6675810,385455
1599866528017491,ge,vaqi,zaraloxi,17,132,1,672,64053,63,7536419,9
1599866528017511,da,kafo,fulomico,68,135,2,528,20516,50,4106003,4995507
1599866528017530,my,cize,fiboxizu,-49,-137,3,665,1329,2087936,46,94
1599866528017550,da,moqu,nyzaxoqo,69,-150,2,957,8390,30,6025346,6113122
1599866528017570,lu,koko,cojipyxu,-24,-49,4,362,77147,44,7603680,31
1599866528017590,ni,xoqu,hofimuju,69,117,6,568,36346,42,1015144,7715631
1599866528017609,ti,ciqo,hopixivu,-10,20,9,259,53995,13,5549698,55
1599866528017629,ko,jiko,gyletegu,-39,155,1,321,10424,64,2432209,2968611
1599866528017649,vy,veho,rywapohi,54,1,7,416,33450,66,1294592,58
1599866528017669,lo,visa,furutypi,-85,-136,8,156,80670,54,5042560,4927456
1599866528017688,se,tove,bejihape,48,-97,7,929,68621,44,1060247,55
1599866528017709,fy,qaba,kewylise,25,-28,9,543,89518,70,7054445,4775342
